root,source,direct_files,recursive_files,direct_bytes,proposed,status,reason
Garçons (Gelbooru),Styles vestimentaires,0,93,0,Styles vestimentaires,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/baseball_cap,1,1,331767,Styles vestimentaires/baseball_cap,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/bodysuit,1,1,134685,Styles vestimentaires/bodysuit,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/choker,3,3,632526,Styles vestimentaires/choker,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/collar,16,16,5434653,Styles vestimentaires/collar,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/collar choker,2,2,295477,Styles vestimentaires/collar choker,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/goth_,4,4,1605565,Styles vestimentaires/goth_,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/high_heels skin_tight,1,1,166818,Styles vestimentaires/high_heels skin_tight,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/hooded_jacket,3,3,360761,Styles vestimentaires/hooded_jacket,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/jewelry,1,1,444532,Styles vestimentaires/jewelry,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/labcoat,3,3,524076,Styles vestimentaires/labcoat,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/lingerie,3,3,376585,Styles vestimentaires/lingerie,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/mask,6,6,878977,Styles vestimentaires/mask,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/Panties,1,5,131510,Styles vestimentaires/Panties,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/Panties/boxers,1,1,664047,Styles vestimentaires/Panties/boxers,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/Panties/choker panties,1,1,244249,Styles vestimentaires/Panties/choker panties,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/Panties/panties highleg_panties skirt,1,1,136021,Styles vestimentaires/Panties/panties highleg_panties skirt,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/Panties/side-tie_panties,1,1,150779,Styles vestimentaires/Panties/side-tie_panties,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/pants,8,8,1390907,Styles vestimentaires/pants,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/pants black_pants,9,9,1552739,Styles vestimentaires/pants black_pants,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/school_uniform,6,6,1023482,Styles vestimentaires/school_uniform,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/shorts,2,4,344221,Styles vestimentaires/shorts,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/shorts/shorts bike_shorts,1,1,58834,Styles vestimentaires/shorts/shorts bike_shorts,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/shorts/shorts short_shorts,1,1,276734,Styles vestimentaires/shorts/shorts short_shorts,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/skin_tight,1,1,218580,Styles vestimentaires/skin_tight,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/Skirts,0,7,0,Styles vestimentaires/Skirts,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/Skirts/choker skirt,1,1,756217,Styles vestimentaires/Skirts/choker skirt,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/Skirts/microskirt,3,3,650436,Styles vestimentaires/Skirts/microskirt,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/Skirts/skirt high-waist_skirt,1,1,77238,Styles vestimentaires/Skirts/skirt high-waist_skirt,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/Skirts/skirt miniskirt,2,2,1271486,Styles vestimentaires/Skirts/skirt miniskirt,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/sportwear,1,1,78390,Styles vestimentaires/sportwear,keep,déjà sous une famille structurée
